"createdAt","id","text","displayTextRangeStart","displayTextRangeEnd","source","isTruncated","inReplyToStatusId","inReplyToUserId","isFavorited","isRetweeted","favoriteCount","place__name","place__countryCode","place__id","place__country","place__placeType","place__url","place__fullName","place__boundingBoxType","place__boundingBoxCoordinates__latitude","place__boundingBoxCoordinates__longitude","inReplyToScreenName","retweetCount","isPossiblySensitive","lang","userMentionEntities__name","userMentionEntities__screenName","userMentionEntities__id","userMentionEntities__start","userMentionEntities__end","urlEntities__url","urlEntities__expandedURL","urlEntities__displayURL","urlEntities__start","urlEntities__end","hashtagEntities__text","hashtagEntities__start","hashtagEntities__end","mediaEntities__id","mediaEntities__url","mediaEntities__mediaURL","mediaEntities__mediaURLHttps","mediaEntities__expandedURL","mediaEntities__displayURL","mediaEntities__sizes__|","mediaEntities__sizes__|__width","mediaEntities__sizes__|__height","mediaEntities__sizes__|__resize","mediaEntities__type","mediaEntities__videoAspectRatioWidth","mediaEntities__videoAspectRatioHeight","mediaEntities__videoDurationMillis","mediaEntities__start","mediaEntities__end","currentUserRetweetId","user__id","user__name","user__screenName","user__location","user__description","user__descriptionURLEntities__url","user__descriptionURLEntities__expandedURL","user__descriptionURLEntities__displayURL","user__descriptionURLEntities__start","user__descriptionURLEntities__end","user__urlEntity__url","user__urlEntity__expandedURL","user__urlEntity__displayURL","user__urlEntity__start","user__urlEntity__end","user__isContributorsEnabled","user__profileImageUrl","user__profileImageUrlHttps","user__isDefaultProfileImage","user__url","user__isProtected","user__followersCount","user__profileBackgroundColor","user__profileTextColor","user__profileLinkColor","user__profileSidebarFillColor","user__profileSidebarBorderColor","user__profileUseBackgroundImage","user__isDefaultProfile","user__showAllInlineMedia","user__friendsCount","user__createdAt","user__favouritesCount","user__utcOffset","user__profileBackgroundImageUrl","user__profileBackgroundImageUrlHttps","user__profileBannerImageUrl","user__profileBackgroundTiled","user__lang","user__statusesCount","user__isGeoEnabled","user__isVerified","user__translator","user__listedCount","user__isFollowRequestSent","quotedStatusId"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ncaa","66","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","basketball","72","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 21, 2018 12:45:45 PM","1054051121646440449","Lol this will be fun to look at when the season is over  https://t.co/pOcczgDAsY","-1","-1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/pOcczgDAsY","http://www.espn.com/mens-college-basketball/story/_/id/24992844/college-basketball-preseason-power-rankings","espn.com/mens-college-b…","57","80","","","","","","","","","","","","","","","","","","","","-1","341079715","Tyler Phillips","typhilli","","Are you rushing or are you dragging?","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/993506121083248642/PBrOX8Gb_normal.jpg","https://pbs.twimg.com/profile_images/993506121083248642/PBrOX8Gb_normal.jpg","False","","False","335","C0DEED","333333","0084B4","DDEEF6","C0DEED","True","False","False","281","Jul 23, 2011 3:29:26 PM","5462","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/341079715/1404625841","True","en","16559","True","False","False","8","False","-1"
"Oct 21, 2018 11:48:35 AM","1054036733984161792","Power rankings: The debate for No. 1 is on https://t.co/VpMc8YsemV\nvia @ESPN App https://t.co/49zYvkzxnV","-1","-1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","ESPN","espn","2557521","71","76","https://t.co/VpMc8YsemV","https://es.pn/2OsvUax","es.pn/2OsvUax","43","66","","","","","","","","","","","","","","","","","","","","-1","2745854921","⚡ThunderUp⚡","SteelCityPride8","United States","","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/989322783283994624/lMrzCKfp_normal.jpg","https://pbs.twimg.com/profile_images/989322783283994624/lMrzCKfp_normal.jpg","False","","False","615","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","300","Aug 17, 2014 7:51:05 PM","19587","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","","False","en","32358","False","False","False","48","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/49zYvkzxnV","http://es.pn/app","es.pn/app","81","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 21, 2018 10:41:29 AM","1054019849192726528","Hey @jeffborzello, one Big Ten team in your Top 25? And that team lost two lottery picks? Who hurt you? https://t.co/9IgN9za1TR","-1","-1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","-1","-1","False","False","9","","","","","","","","","","","","0","False","en","Jeff Borzello","jeffborzello","96845237","4","17","https://t.co/9IgN9za1TR","http://www.espn.com/mens-college-basketball/story/_/id/24992844/college-basketball-preseason-power-rankings","espn.com/mens-college-b…","104","127","","","","","","","","","","","","","","","","","","","","-1","568765946","𝓐𝓷𝓽 𝓦𝓻𝓲𝓰𝓱𝓽","ItsAntWright","Michigan","I'm good with numbers, and good with people. DISCLAIMER: Sometimes I tweet too much.","","","","","","https://t.co/OxKesOUIKx","http://www.youtube.com/watch?v=U-5QuXxtY2Q","youtube.com/watch?v=U-5QuX…","0","23","False","http://pbs.twimg.com/profile_images/1055816412084756486/HgYo1AO1_normal.jpg","https://pbs.twimg.com/profile_images/1055816412084756486/HgYo1AO1_normal.jpg","False","https://t.co/OxKesOUIKx","False","10774","C0DEED","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","664","May 1, 2012 11:38:50 PM","8321","-1","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png","https://pbs.twimg.com/profile_banners/568765946/1498169386","False","en","92332","False","False","False","166","False","-1"
"Oct 21, 2018 6:24:41 AM","1053955222651973633","Power rankings: The debate for No. 1 is on https://t.co/f90CvczhHA\nvia @ESPN App https://t.co/lqFsJ9FXPU","-1","-1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","ESPN","espn","2557521","71","76","https://t.co/f90CvczhHA","https://es.pn/2OsvUax","es.pn/2OsvUax","43","66","","","","","","","","","","","","","","","","","","","","-1","934670430782263297","Coach Mitch","IAmCoachMitch","Greater Houston Area","RISE AND GRIND ACADEMY🏀\nR.A.G.A HOOPS\nI am sure that no man can derive more pleasure from money or power than I do from seeing a pair of basketball goals","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/994903516199247872/JdMPnibM_normal.jpg","https://pbs.twimg.com/profile_images/994903516199247872/JdMPnibM_normal.jpg","False","","False","1009","F5F8FA","333333","1DA1F2","DDEEF6","C0DEED","True","True","False","473","Nov 26, 2017 1:29:30 AM","11314","-1","","","https://pbs.twimg.com/profile_banners/934670430782263297/1535506145","False","en","12945","True","False","False","1","False","-1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/lqFsJ9FXPU","http://es.pn/app","es.pn/app","81","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oct 21, 2018 3:04:15 AM","1053904782983946240","College hoops power rankings: The debate for No. 1 is on https://t.co/yC4raIE00I","-1","-1","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","","","","","","https://t.co/yC4raIE00I","https://ift.tt/2Aiench","ift.tt/2Aiench","57","80","","","","","","","","","","","","","","","","","","","","-1","28096651","Juank","JCSura","San Salvador, El Salvador","#Blogger #Tech #Política #Monitoreo #Discapacidad #Workaholic #FMLN #ElSalvador 🇸🇻 –de cuando en vez, bruto para decir las cosas–  🤔 ¡Así en corto!","","","","","","https://t.co/71qZKiC2La","https://www.facebook.com/JCSura","facebook.com/JCSura","0","23","False","http://pbs.twimg.com/profile_images/827568259465555968/4MROd4Dr_normal.jpg","https://pbs.twimg.com/profile_images/827568259465555968/4MROd4Dr_normal.jpg","False","https://t.co/71qZKiC2La","False","7819","3B94D9","000000","E81C4F","000000","000000","True","False","False","698","Apr 1, 2009 8:35:19 AM","332","-1","http://abs.twimg.com/images/themes/theme7/bg.gif","https://abs.twimg.com/images/themes/theme7/bg.gif","https://pbs.twimg.com/profile_banners/28096651/1501960566","False","es","638328","False","False","False","175","False","-1"
"Oct 21, 2018 1:13:38 AM","1053876945434349573","College hoops power rankings: The debate for No. 1 is on https://t.co/xBTGMTJW9G via @oussbey https://t.co/HFghAfqPq3","-1","-1","<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","False","-1","-1","False","False","0","","","","","","","","","","","","0","False","en","Ouss Erdem","Oussbey","2526263601","85","93","https://t.co/xBTGMTJW9G","http://www.espn.com/mens-college-basketball/story/_/id/24992844/college-basketball-preseason-power-rankings","espn.com/mens-college-b…","57","80","","","","1053876943869763584","https://t.co/HFghAfqPq3","http://pbs.twimg.com/media/DqAffyxU4AA1ruC.jpg","https://pbs.twimg.com/media/DqAffyxU4AA1ruC.jpg","https://twitter.com/oussamaelbey/status/1053876945434349573/photo/1","pic.twitter.com/HFghAfqPq3","0","150","150","101","photo","0","0","0","94","117","-1","83872318","oussama bey gahar","oussamaelbey","tunisie , hammamet","","","","","","","","","","","","False","http://pbs.twimg.com/profile_images/907699364105252864/eiDy47nq_normal.jpg","https://pbs.twimg.com/profile_images/907699364105252864/eiDy47nq_normal.jpg","False","","False","20","B2DFDA","333333","93A644","FFFFFF","EEEEEE","True","False","False","92","Oct 20, 2009 12:06:33 PM","18","-1","http://abs.twimg.com/images/themes/theme13/bg.gif","https://abs.twimg.com/images/themes/theme13/bg.gif","https://pbs.twimg.com/profile_banners/83872318/1395488738","False","fr","6751","True","False","False","0","False","-1"
